ID;Matériau;Dimension;Caractéristique;Précision;Qté;Unité;PR. FO;Type FO;K FO;PV FO;h MO;Type MO;K MO;PV MO;PV.U. total;Prix total;F1_nom;F1_prix;F1_ref;F1_source;F2_nom;F2_prix;F2_ref;F2_source;F3_nom;F3_prix;F3_ref;F3_source;Temps (h);"Temps (1""/h)"
Cal.C2.100;Rockwool 835;DN100;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.125;Rockwool 835;DN125;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.150;Rockwool 835;DN150;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.200;Rockwool 835;DN200;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.250;Rockwool 835;DN250;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.300;Rockwool 835;DN300;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.350;Rockwool 835;DN350;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.400;Rockwool 835;DN400;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.450;Rockwool 835;DN450;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C2.500;Rockwool 835;DN500;Calo chaud;Classe 2;;m²;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.15;Rockwool 835;DN15;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.20;Rockwool 835;DN20;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.25;Rockwool 835;DN25;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.32;Rockwool 835;DN32;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.40;Rockwool 835;DN40;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
Cal.C3.50;Rockwool 835;DN50;Calo chaud;Classe 3;;m²;;;;;;;;;;;;;;;;;;;;;;;;
